name,channel,genre,season,episode,year,day,time,minutes,viewers,rating
Dancing with the Stars,ABC,Reality-Competition,26,1,2018-S,Monday,8:00,120,8.48,1.1
Dancing with the Stars,ABC,Reality-Competition,26,2,2018-S,Monday,8:00,120,7.73,1
Dancing with the Stars,ABC,Reality-Competition,26,3,2018-S,Monday,8:00,120,7.68,1
Dancing with the Stars,ABC,Reality-Competition,26,4,2018-S,Monday,8:00,60,8.77,1.1
Dancing with the Stars,ABC,Reality-Competition,25,1,2017-F,Monday,8:00,120,10.71,1.6
Dancing with the Stars,ABC,Reality-Competition,25,2,2017-F,Monday,8:00,120,8.67,1.4
Dancing with the Stars,ABC,Reality-Competition,25,3,2017-F,Tuesday,9:00,120,7.22,1.2
Dancing with the Stars,ABC,Reality-Competition,25,4,2017-F,Monday,8:00,120,9.06,1.4
Dancing with the Stars,ABC,Reality-Competition,25,5,2017-F,Monday,8:00,120,9.25,1.3
Dancing with the Stars,ABC,Reality-Competition,25,6,2017-F,Monday,8:00,120,9.76,1.4
Dancing with the Stars,ABC,Reality-Competition,25,7,2017-F,Monday,8:00,120,9.15,1.3
Dancing with the Stars,ABC,Reality-Competition,25,8,2017-F,Monday,8:00,120,9.93,1.4
Dancing with the Stars,ABC,Reality-Competition,25,9,2017-F,Monday,8:00,120,9.3,1.2
Dancing with the Stars,ABC,Reality-Competition,25,10,2017-F,Monday,8:00,120,9.88,1.4
Dancing with the Stars,ABC,Reality-Competition,25,11,2017-F,Monday,8:00,120,10.08,1.4
Dancing with the Stars,ABC,Reality-Competition,25,12,2017-F,Tuesday,9:00,120,9.2,1.3
Dancing with the Stars,ABC,Reality-Competition,24,1,2017-S,Monday,8:00,120,12.09,2.1
Dancing with the Stars,ABC,Reality-Competition,24,2,2017-S,Monday,8:00,120,11.12,1.7
Dancing with the Stars,ABC,Reality-Competition,24,3,2017-S,Monday,8:00,120,10.47,1.5
Dancing with the Stars,ABC,Reality-Competition,24,4,2017-S,Monday,8:00,120,10.31,1.6
Dancing with the Stars,ABC,Reality-Competition,24,5,2017-S,Monday,8:00,120,11.18,1.8
Dancing with the Stars,ABC,Reality-Competition,24,6,2017-S,Monday,8:00,120,10.35,1.6
Dancing with the Stars,ABC,Reality-Competition,24,7,2017-S,Monday,8:00,120,10.31,1.6
